mode,time,x,y,theta,linear_vel,angular_vel,pos_err,ang_err,err_it,err_ct,leader_x,leader_y,hdg_to_leader
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.219300667,-26.40588378519918,15.567111505666977,1.5642513420999178,0.4,-0.4,0.0,-3.1350476688948143,-26.40588378519918,-15.567111505666977,0.0,0.0,0.0
4,0.289411797,-26.428516380973285,15.567147151253444,1.5642513420999178,0.4,-0.4,0.0,-3.1350476688948143,-26.428516380973285,-15.567147151253444,0.0,0.0,0.0
4,0.387758279,-26.446622458597524,15.56717566709055,1.5642513420999178,0.4,-0.4,0.0,-3.1350476688948143,-26.446622458597524,-15.56717566709055,-0.9723650455746851,12.236332337640334,-0.13001571754037444
4,0.477203788,-26.461107319691966,15.56719848007627,1.5631605113174212,0.4,-0.4,0.0,-3.1339568381123177,-26.461107319691966,-15.56719848007627,-0.9723650468308793,12.235354256753011,-0.12998126931051202
4,0.578665972,-26.472695210577427,15.567216730306827,1.5555246958399462,0.4,-0.4,0.0,-3.126321022634843,-26.472695210577427,-15.567216730306827,-0.9723650480870737,12.234571792043152,-0.12995373866582183
4,0.677899084,-26.48196552328579,15.567231330333255,1.5326172494075205,0.4,-0.4,0.0,-3.103413576202417,-26.48196552328579,-15.567231330333255,-0.9723650493432681,12.23394581995923,-0.12993173202353558
4,0.778313361,-26.48938177345249,15.567243010986466,1.490074848890159,0.4,-0.4,0.0,-3.0608711756850555,-26.48938177345249,-15.567243010986466,-0.9723650493432681,12.233445041976056,-0.12991413816293207
4,0.878418482,-26.49531477207841,15.567252354560933,1.4333516482003432,0.4,-0.4,0.0,-3.00414797499524,-26.49531477207841,-15.567252354560933,-0.9723650493432681,12.233044420221585,-0.12990007032465334
4,0.980209404,-26.500061171984104,15.567259830368611,1.3668109704680593,0.4,-0.4,0.0,-2.937607297262956,-26.500061171984104,-15.567259830368611,-0.9723650493432681,12.232723922818012,-0.12988882075645813
4,1.073619004,-26.500061171984104,15.567259830368611,1.2959069696057899,0.4,-0.4,0.0,-2.8667032964006864,-26.500061171984104,-15.567259830368611,-0.9723650493432681,12.254706510009898,-0.12904204700011768
4,1.172813054,-26.443250275070852,15.687361115751761,1.2206396456135344,0.4,-0.4,0.0,-2.791435972408431,-26.443250275070852,-15.687361115751761,-0.9723650493432681,12.272292579605391,-0.13328247174902197
4,1.276868715,-26.423050844945596,15.730063795139563,1.1540989678812505,0.4,-0.4,0.0,-2.724895294676147,-26.423050844945596,-15.730063795139563,-0.9723650493432681,12.286361434965748,-0.1344920117617665
4,1.3762249,-26.406891300845384,15.764225938649806,1.0810133054539879,0.4,-0.4,0.0,-2.6518096322488844,-26.406891300845384,-15.764225938649806,-0.9723650493432681,12.29761652020214,-0.13546074158674237
4,1.475354571,-26.39396366606769,15.791555653774035,1.0057459814617324,0.4,-0.4,0.0,-2.576542308256629,-26.39396366606769,-15.791555653774035,-0.9723650493432681,12.306620587759182,-0.13623642785423673
4,1.575005528,-26.383621558245544,15.813419425241348,0.9293878266869804,0.4,-0.4,0.0,-2.500184153481877,-26.383621558245544,-15.813419425241348,-0.9723650493432681,12.313823842120852,-0.13685742621925323
4,1.680749868,-26.3753478712341,15.830910442573215,0.854120502694725,0.4,-0.4,0.0,-2.4249168294896215,-26.3753478712341,-15.830910442573215,-0.9723650493432681,12.31958644545217,-0.13735451246713737
4,1.77707058,-26.368728921373712,15.844903255964656,0.7777623479199729,0.4,-0.4,0.0,-2.3485586747148695,-26.368728921373712,-15.844903255964656,-0.9723650493432681,12.324196527643172,-0.13775236545667768
4,1.874148301,-26.363433761736644,15.856097507625915,0.6992225315802285,0.4,-0.4,0.0,-2.270018858375125,-26.363433761736644,-15.856097507625915,-0.9723650493432681,12.327884594344079,-0.1380707655821234
4,1.979962953,-26.359197634278225,15.86505290895492,0.6228643768054765,0.4,-0.4,0.0,-2.193660703600373,-26.359197634278225,-15.86505290895492,-0.9723650493432681,12.330835047230751,-0.13832556104046034
4,1.979962953,-26.359197634278225,15.86505290895492,0.6228643768054765,0.4,-0.4,0.0,-2.193660703600373,-26.359197634278225,-15.86505290895492,-0.9723650493432681,12.330835047230751,-0.13832556104046034
4,2.191589528,-26.257629040818212,16.07809955381791,0.47014806725597236,0.4,-0.4,0.0,-2.040944394050869,-26.257629040818212,-16.07809955381791,-0.9723650493432681,12.335083699166336,-0.14696422204225446
4,2.191589528,-26.257629040818212,16.07809955381791,0.47014806725597236,0.4,-0.4,0.0,-2.040944394050869,-26.257629040818212,-16.07809955381791,-0.9723650493432681,12.335083699166336,-0.14696422204225446
4,2.191589528,-26.257629040818212,16.07809955381791,0.47014806725597236,0.4,-0.4,0.0,-2.040944394050869,-26.257629040818212,-16.07809955381791,-0.9723650493432681,12.335083699166336,-0.14696422204225446
